# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 如果有多个本地源文件，可以在config目录下创建local目录进行存放，支持txt/m3u文件格式
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
# If there are multiple local source files, you can create a local directory under the config directory for storage, supporting txt/m3u file formats
# 来源1：http://45.192.97.170:5222/2
# 来源2：http://45.192.97.170:6001/

咪咕央卫,#genre#
东南卫视,http://45.192.97.170:8880/play/366.m3u8
东南卫视,http://45.192.97.170:8880/play/367.m3u8
东南卫视,http://45.192.97.170:8880/play/368.m3u8
东方卫视,http://45.192.97.170:8880/play/369.m3u8
东方卫视,http://45.192.97.170:8880/play/370.m3u8
安徽卫视,http://45.192.97.170:8880/play/371.m3u8
安徽卫视,http://45.192.97.170:8880/play/372.m3u8
安徽卫视,http://45.192.97.170:8880/play/373.m3u8
山东卫视,http://45.192.97.170:8880/play/374.m3u8
山东卫视,http://45.192.97.170:8880/play/375.m3u8
山东卫视,http://45.192.97.170:8880/play/376.m3u8
广东卫视,http://45.192.97.170:8880/play/377.m3u8
广东卫视,http://45.192.97.170:8880/play/378.m3u8
广东卫视,http://45.192.97.170:8880/play/379.m3u8
广东卫视,http://45.192.97.170:8880/play/380.m3u8
江苏卫视,http://45.192.97.170:8880/play/381.m3u8
江苏卫视,http://45.192.97.170:8880/play/382.m3u8
江苏卫视,http://45.192.97.170:8880/play/383.m3u8
江苏卫视,http://45.192.97.170:8880/play/384.m3u8
江苏卫视,http://45.192.97.170:8880/play/385.m3u8
河北卫视,http://45.192.97.170:8880/play/386.m3u8
河北卫视,http://45.192.97.170:8880/play/387.m3u8
浙江卫视,http://45.192.97.170:8880/play/388.m3u8
浙江卫视,http://45.192.97.170:8880/play/389.m3u8
浙江卫视,http://45.192.97.170:8880/play/390.m3u8
浙江卫视,http://45.192.97.170:8880/play/391.m3u8
浙江卫视,http://45.192.97.170:8880/play/392.m3u8
深圳卫视,http://45.192.97.170:8880/play/393.m3u8
深圳卫视,http://45.192.97.170:8880/play/394.m3u8
深圳卫视,http://45.192.97.170:8880/play/395.m3u8
深圳卫视,http://45.192.97.170:8880/play/396.m3u8
湖北卫视,http://45.192.97.170:8880/play/397.m3u8
湖北卫视,http://45.192.97.170:8880/play/398.m3u8
湖北卫视,http://45.192.97.170:8880/play/399.m3u8
湖南卫视,http://45.192.97.170:8880/play/400.m3u8
湖南卫视,http://45.192.97.170:8880/play/401.m3u8
湖南卫视,http://45.192.97.170:8880/play/402.m3u8
贵州卫视,http://45.192.97.170:8880/play/403.m3u8
贵州卫视,http://45.192.97.170:8880/play/404.m3u8
贵州卫视,http://45.192.97.170:8880/play/405.m3u8
贵州卫视,http://45.192.97.170:8880/play/406.m3u8
黑龙江卫视,http://45.192.97.170:8880/play/407.m3u8
黑龙江卫视,http://45.192.97.170:8880/play/408.m3u8
黑龙江卫视,http://45.192.97.170:8880/play/409.m3u8
云南卫视,http://45.192.97.170:8880/play/410.m3u8
云南卫视,http://45.192.97.170:8880/play/411.m3u8
内蒙古卫视,http://45.192.97.170:8880/play/412.m3u8
北京卫视,http://45.192.97.170:8880/play/413.m3u8
北京卫视,http://45.192.97.170:8880/play/414.m3u8
北京卫视,http://45.192.97.170:8880/play/415.m3u8
北京卫视,http://45.192.97.170:8880/play/416.m3u8
吉林卫视,http://45.192.97.170:8880/play/417.m3u8
吉林卫视,http://45.192.97.170:8880/play/418.m3u8
四川卫视,http://45.192.97.170:8880/play/419.m3u8
四川卫视,http://45.192.97.170:8880/play/420.m3u8
天津卫视,http://45.192.97.170:8880/play/421.m3u8
天津卫视,http://45.192.97.170:8880/play/422.m3u8
天津卫视,http://45.192.97.170:8880/play/423.m3u8
山西卫视,http://45.192.97.170:8880/play/424.m3u8
山西卫视,http://45.192.97.170:8880/play/425.m3u8
广西卫视,http://45.192.97.170:8880/play/426.m3u8
广西卫视,http://45.192.97.170:8880/play/427.m3u8
江西卫视,http://45.192.97.170:8880/play/428.m3u8
江西卫视,http://45.192.97.170:8880/play/429.m3u8
河南卫视,http://45.192.97.170:8880/play/430.m3u8
河南卫视,http://45.192.97.170:8880/play/431.m3u8
河南卫视,http://45.192.97.170:8880/play/432.m3u8
辽宁卫视,http://45.192.97.170:8880/play/433.m3u8
辽宁卫视,http://45.192.97.170:8880/play/434.m3u8
辽宁卫视,http://45.192.97.170:8880/play/435.m3u8
辽宁卫视,http://45.192.97.170:8880/play/436.m3u8
重庆卫视,http://45.192.97.170:8880/play/437.m3u8
重庆卫视,http://45.192.97.170:8880/play/438.m3u8
重庆卫视,http://45.192.97.170:8880/play/439.m3u8
五星体育,http://45.192.97.170:8880/play/440.m3u8
新闻综合,http://45.192.97.170:8880/play/441.m3u8
第一财经,http://45.192.97.170:8880/play/442.m3u8
宁夏卫视,http://45.192.97.170:8880/play/443.m3u8
康巴卫视,http://45.192.97.170:8880/play/444.m3u8
甘肃卫视,http://45.192.97.170:8880/play/445.m3u8
西藏卫视,http://45.192.97.170:8880/play/446.m3u8
西藏卫视,http://45.192.97.170:8880/play/447.m3u8
河南公共,http://45.192.97.170:8880/play/448.m3u8
河南新闻,http://45.192.97.170:8880/play/449.m3u8
河南民生,http://45.192.97.170:8880/play/450.m3u8
河南都市,http://45.192.97.170:8880/play/451.m3u8
金鹰卡通,http://45.192.97.170:8880/play/452.m3u8
北京纪实卫视,http://45.192.97.170:8880/play/453.m3u8
CHC家庭电影,http://45.192.97.170:8880/play/454.m3u8
北海经济科教,http://45.192.97.170:8880/play/455.m3u8
广西影视,http://45.192.97.170:8880/play/456.m3u8
广西新闻,http://45.192.97.170:8880/play/457.m3u8
广西综艺,http://45.192.97.170:8880/play/458.m3u8
广西都市,http://45.192.97.170:8880/play/459.m3u8
强盛城市海岸,http://45.192.97.170:8880/play/460.m3u8
兰州新闻综合,http://45.192.97.170:8880/play/461.m3u8
兰州旅游,http://45.192.97.170:8880/play/462.m3u8
北京电信,#genre#
CCTV1,http://45.192.97.170:8880/play/463.m3u8
CCTV2,http://45.192.97.170:8880/play/464.m3u8
CCTV3,http://45.192.97.170:8880/play/465.m3u8
CCTV4,http://45.192.97.170:8880/play/466.m3u8
CCTV5,http://45.192.97.170:8880/play/467.m3u8
CCTV5p,http://45.192.97.170:8880/play/468.m3u8
CCTV6,http://45.192.97.170:8880/play/469.m3u8
CCTV7,http://45.192.97.170:8880/play/470.m3u8
CCTV8,http://45.192.97.170:8880/play/471.m3u8
CCTV9,http://45.192.97.170:8880/play/472.m3u8
CCTV10,http://45.192.97.170:8880/play/473.m3u8
CCTV11,http://45.192.97.170:8880/play/474.m3u8
CCTV12,http://45.192.97.170:8880/play/475.m3u8
CCTV13,http://45.192.97.170:8880/play/476.m3u8
CCTV14,http://45.192.97.170:8880/play/477.m3u8
CCTV15,http://45.192.97.170:8880/play/478.m3u8
湖南卫视,http://45.192.97.170:8880/play/479.m3u8
东方卫视,http://45.192.97.170:8880/play/480.m3u8
四川卫视,http://45.192.97.170:8880/play/481.m3u8
天津卫视,http://45.192.97.170:8880/play/482.m3u8
安徽卫视,http://45.192.97.170:8880/play/483.m3u8
山东卫视,http://45.192.97.170:8880/play/484.m3u8
广西卫视,http://45.192.97.170:8880/play/485.m3u8
江苏卫视,http://45.192.97.170:8880/play/486.m3u8
江西卫视,http://45.192.97.170:8880/play/487.m3u8
河南卫视,http://45.192.97.170:8880/play/488.m3u8
浙江卫视,http://45.192.97.170:8880/play/489.m3u8
深圳卫视,http://45.192.97.170:8880/play/490.m3u8
湖北卫视,http://45.192.97.170:8880/play/491.m3u8
山西卫视,http://45.192.97.170:8880/play/492.m3u8
贵州卫视,http://45.192.97.170:8880/play/493.m3u8
辽宁卫视,http://45.192.97.170:8880/play/494.m3u8
黑龙江卫视,http://45.192.97.170:8880/play/495.m3u8
内蒙古卫视,http://45.192.97.170:8880/play/496.m3u8
宁夏卫视,http://45.192.97.170:8880/play/497.m3u8
陕西卫视,http://45.192.97.170:8880/play/498.m3u8
云南卫视,http://45.192.97.170:8880/play/499.m3u8
青海卫视,http://45.192.97.170:8880/play/500.m3u8
新疆卫视,http://45.192.97.170:8880/play/501.m3u8
西藏卫视,http://45.192.97.170:8880/play/502.m3u8
BTV北京卫视,http://45.192.97.170:8880/play/503.m3u8
BTV文艺,http://45.192.97.170:8880/play/504.m3u8
BTV科教,http://45.192.97.170:8880/play/505.m3u8
BTV影视,http://45.192.97.170:8880/play/506.m3u8
BTV财经,http://45.192.97.170:8880/play/507.m3u8
BTV生活,http://45.192.97.170:8880/play/508.m3u8
BTV新闻,http://45.192.97.170:8880/play/509.m3u8
BTV体育,http://45.192.97.170:8880/play/510.m3u8
淘电影,http://45.192.97.170:8880/play/511.m3u8
BTV卡酷,http://45.192.97.170:8880/play/512.m3u8
军旅剧场,http://45.192.97.170:8880/play/513.m3u8
古装剧场,http://45.192.97.170:8880/play/514.m3u8
喜剧影院,http://45.192.97.170:8880/play/515.m3u8
动作影院,http://45.192.97.170:8880/play/516.m3u8
城市剧场,http://45.192.97.170:8880/play/517.m3u8
少儿动画,http://45.192.97.170:8880/play/518.m3u8
酒店源集,#genre#
CCTV1,http://45.192.97.170:8880/play/519.m3u8
CCTV1,http://45.192.97.170:8880/play/520.m3u8
CCTV1,http://45.192.97.170:8880/play/521.m3u8
CCTV1,http://45.192.97.170:8880/play/522.m3u8
CCTV2,http://45.192.97.170:8880/play/523.m3u8
CCTV2,http://45.192.97.170:8880/play/524.m3u8
CCTV2,http://45.192.97.170:8880/play/525.m3u8
CCTV2,http://45.192.97.170:8880/play/526.m3u8
CCTV3,http://45.192.97.170:8880/play/527.m3u8
CCTV3,http://45.192.97.170:8880/play/528.m3u8
CCTV3,http://45.192.97.170:8880/play/529.m3u8
CCTV3,http://45.192.97.170:8880/play/530.m3u8
CCTV3,http://45.192.97.170:8880/play/531.m3u8
CCTV3,http://45.192.97.170:8880/play/532.m3u8
CCTV3,http://45.192.97.170:8880/play/533.m3u8
CCTV4,http://45.192.97.170:8880/play/534.m3u8
CCTV4,http://45.192.97.170:8880/play/535.m3u8
CCTV4,http://45.192.97.170:8880/play/536.m3u8
CCTV4,http://45.192.97.170:8880/play/537.m3u8
CCTV4,http://45.192.97.170:8880/play/538.m3u8
CCTV4,http://45.192.97.170:8880/play/539.m3u8
CCTV4,http://45.192.97.170:8880/play/540.m3u8
CCTV5,http://45.192.97.170:8880/play/541.m3u8
CCTV5,http://45.192.97.170:8880/play/542.m3u8
CCTV5,http://45.192.97.170:8880/play/543.m3u8
CCTV5,http://45.192.97.170:8880/play/544.m3u8
CCTV5,http://45.192.97.170:8880/play/545.m3u8
CCTV5,http://45.192.97.170:8880/play/546.m3u8
CCTV5+,http://45.192.97.170:8880/play/547.m3u8
CCTV5+,http://45.192.97.170:8880/play/548.m3u8
CCTV5+,http://45.192.97.170:8880/play/549.m3u8
CCTV5+,http://45.192.97.170:8880/play/550.m3u8
CCTV5+,http://45.192.97.170:8880/play/551.m3u8
CCTV5+,http://45.192.97.170:8880/play/552.m3u8
CCTV6,http://45.192.97.170:8880/play/553.m3u8
CCTV6,http://45.192.97.170:8880/play/554.m3u8
CCTV6,http://45.192.97.170:8880/play/555.m3u8
CCTV6,http://45.192.97.170:8880/play/556.m3u8
CCTV6,http://45.192.97.170:8880/play/557.m3u8
CCTV6,http://45.192.97.170:8880/play/558.m3u8
CCTV6,http://45.192.97.170:8880/play/559.m3u8
CCTV7,http://45.192.97.170:8880/play/560.m3u8
CCTV7,http://45.192.97.170:8880/play/561.m3u8
CCTV7,http://45.192.97.170:8880/play/562.m3u8
CCTV7,http://45.192.97.170:8880/play/563.m3u8
CCTV7,http://45.192.97.170:8880/play/564.m3u8
CCTV7,http://45.192.97.170:8880/play/565.m3u8
CCTV7,http://45.192.97.170:8880/play/566.m3u8
CCTV8,http://45.192.97.170:8880/play/567.m3u8
CCTV8,http://45.192.97.170:8880/play/568.m3u8
CCTV8,http://45.192.97.170:8880/play/569.m3u8
CCTV8,http://45.192.97.170:8880/play/570.m3u8
CCTV8,http://45.192.97.170:8880/play/571.m3u8
CCTV8,http://45.192.97.170:8880/play/572.m3u8
CCTV9,http://45.192.97.170:8880/play/573.m3u8
CCTV9,http://45.192.97.170:8880/play/574.m3u8
CCTV9,http://45.192.97.170:8880/play/575.m3u8
CCTV9,http://45.192.97.170:8880/play/576.m3u8
CCTV9,http://45.192.97.170:8880/play/577.m3u8
CCTV9,http://45.192.97.170:8880/play/578.m3u8
CCTV9,http://45.192.97.170:8880/play/579.m3u8
CCTV10,http://45.192.97.170:8880/play/580.m3u8
CCTV10,http://45.192.97.170:8880/play/581.m3u8
CCTV10,http://45.192.97.170:8880/play/582.m3u8
CCTV10,http://45.192.97.170:8880/play/583.m3u8
CCTV10,http://45.192.97.170:8880/play/584.m3u8
CCTV10,http://45.192.97.170:8880/play/585.m3u8
CCTV11,http://45.192.97.170:8880/play/586.m3u8
CCTV11,http://45.192.97.170:8880/play/587.m3u8
